Link,Date,rating
Khabib-Nurmagomedov-56035,2008-09-13,1075
Ovince-St-Preux-38842,2008-09-27,963
Khabib-Nurmagomedov-56035,2008-10-11,1134
Khabib-Nurmagomedov-56035,2008-10-11,1169
Khabib-Nurmagomedov-56035,2008-10-11,1181
Ovince-St-Preux-38842,2008-12-13,936
Tyron-Woodley-42605,2009-02-07,1048
Ovince-St-Preux-38842,2009-02-20,1060
Ovince-St-Preux-38842,2009-04-25,1122
Tyron-Woodley-42605,2009-04-30,1082
Dustin-Poirier-50529,2009-05-16,1084
Tyron-Woodley-42605,2009-06-06,1126
Dustin-Poirier-50529,2009-06-26,1181
Dustin-Poirier-50529,2009-08-01,1220
Khabib-Nurmagomedov-56035,2009-08-08,1220
Khabib-Nurmagomedov-56035,2009-08-08,1253
Ovince-St-Preux-38842,2009-09-05,1165
Ovince-St-Preux-38842,2009-09-05,1057
Tyron-Woodley-42605,2009-09-25,1182
Ovince-St-Preux-38842,2009-09-26,1032
Dustin-Poirier-50529,2009-10-31,1239
Khabib-Nurmagomedov-56035,2009-11-03,1303
Dustin-Poirier-50529,2009-11-13,1281
Tyron-Woodley-42605,2009-11-20,1307
Yoel-Romero-60762,2009-12-20,1124
Ovince-St-Preux-38842,2010-02-20,1132
Dustin-Poirier-50529,2010-03-06,1348
Ovince-St-Preux-38842,2010-04-17,1190
Ovince-St-Preux-38842,2010-05-15,1264
Tyron-Woodley-42605,2010-05-21,1401
Khabib-Nurmagomedov-56035,2010-06-10,1335
Dustin-Poirier-50529,2010-06-18,1402
Ovince-St-Preux-38842,2010-07-24,1364
Dustin-Poirier-50529,2010-08-18,1303
Khabib-Nurmagomedov-56035,2010-09-18,1378
Yoel-Romero-60762,2010-10-08,1235
Tyron-Woodley-42605,2010-10-09,1476
Dustin-Poirier-50529,2010-11-11,1392
Ovince-St-Preux-38842,2010-11-19,1454
Ovince-St-Preux-38842,2010-12-04,1528
Dustin-Poirier-50529,2011-01-01,1516
Ovince-St-Preux-38842,2011-01-07,1561
